Fed ID,District Code,CDS Code,County Name,District Type,Grade Low,Grade High,Grade Low Census,Grade High Census,Assistance Status,Locale,Enroll Total,Enroll Charter,Enroll Non Charter,African American,African American (%),American Indian,American Indian (%),Asian,Asian (%),Filipino,Filipino (%),Hispanic,Hispanic (%),Pacific Islander,Pacific Islander (%),White,White (%),Two or More Races,Two or More Races (%),Not Reported,Not Reported (%),English Learner,English Learner (%),Foster,Foster (%),Homeless,Homeless (%),Migrant,Migrant (%),Students with Disabilities,Students with Disabilities (%),Socioeconomically Disadvantaged,Socioeconomically Disadvantaged (%),District Label,District Name,EDP 365,Expense ADA,Expense per ADA,LEA Type,Decimal Difference
601770.0,61119,1611190000000.0,Alameda,Unified,KG,12,KG,12,General Assistance,Suburban,10557.0,1496.0,9061.0,748.0,7.1,25.0,0.2,2610.0,24.7,484.0,4.6,1878.0,17.8,52.0,0.5,2844.0,26.9,1596.0,15.1,320.0,3.0,906.0,8.6,27.0,0.3,91.0,0.9,0.0,0.0,1286.0,12.2,4035.0,38.2,Alameda Unified (Alameda),Alameda Unified,155094777.67,8567.86,18101.93,Unified,0.23216299052505518
601860.0,61127,1611270000000.0,Alameda,Unified,KG,12,KG,12,General Assistance,Suburban,3574.0,0.0,3574.0,152.0,4.3,10.0,0.3,1130.0,31.6,51.0,1.4,616.0,17.2,4.0,0.1,923.0,25.8,483.0,13.5,205.0,5.7,456.0,12.8,1.0,0.0,24.0,0.7,0.0,0.0,320.0,9.0,1122.0,31.4,Albany City Unified (Alameda),Albany City Unified,61490895.29,3435.41,17899.14,Unified,0.040341618613207786
604740.0,61143,1611430000000.0,Alameda,Unified,KG,12,KG,12,General Assistance,City,9077.0,0.0,9077.0,1052.0,11.6,21.0,0.2,736.0,8.1,73.0,0.8,2045.0,22.5,16.0,0.2,3733.0,41.1,1392.0,15.3,9.0,0.1,594.0,6.5,32.0,0.4,150.0,1.7,0.0,0.0,1092.0,12.0,2508.0,27.6,Berkeley Unified (Alameda),Berkeley Unified,220550807.98,8572.17,25728.7,Unified,0.05889173919789271
607800.0,61150,1611500000000.0,Alameda,Unified,KG,12,KG,12,General Assistance,Suburban,9489.0,0.0,9489.0,406.0,4.3,7.0,0.1,3119.0,32.9,423.0,4.5,2331.0,24.6,40.0,0.4,1862.0,19.6,974.0,10.3,327.0,3.4,1266.0,13.3,5.0,0.1,135.0,1.4,0.0,0.0,1048.0,11.0,3686.0,38.8,Castro Valley Unified (Alameda),Castro Valley Unified,142491340.82,8991.52,15847.3,Unified,0.05532768653130945
612630.0,61168,1611680000000.0,Alameda,Unified,KG,12,KG,12,General Assistance,Suburban,600.0,0.0,600.0,265.0,44.2,0.0,0.0,56.0,9.3,5.0,0.8,126.0,21.0,4.0,0.7,76.0,12.7,56.0,9.3,12.0,2.0,98.0,16.3,1.0,0.2,13.0,2.2,0.0,0.0,75.0,12.5,327.0,54.5,Emery Unified (Alameda),Emery Unified,15862999.59,554.7,28597.44,Unified,0.08166576527852884
614400.0,61176,1611760000000.0,Alameda,Unified,KG,12,KG,12,Differentiated Assistance,Suburban,33063.0,402.0,32661.0,588.0,1.8,120.0,0.4,21565.0,65.2,1373.0,4.2,5327.0,16.1,163.0,0.5,2426.0,7.3,1150.0,3.5,351.0,1.1,5508.0,16.7,21.0,0.1,226.0,0.7,46.0,0.1,3323.0,10.1,8297.0,25.1,Fremont Unified (Alameda),Fremont Unified,505535565.8,31115.38,16247.13,Unified,0.06259348270855117
616740.0,61192,1611920000000.0,Alameda,Unified,KG,12,KG,12,Differentiated Assistance,Suburban,20193.0,2562.0,17631.0,1388.0,6.9,46.0,0.2,1700.0,8.4,1303.0,6.5,13289.0,65.8,632.0,3.1,802.0,4.0,848.0,4.2,185.0,0.9,5864.0,29.0,44.0,0.2,564.0,2.8,302.0,1.5,2698.0,13.4,15843.0,78.5,Hayward Unified (Alameda),Hayward Unified,374152152.44,16160.23,23152.65,Unified,0.2495490472598472
622110.0,61200,1612000000000.0,Alameda,Unified,KG,12,KG,12,Differentiated Assistance,City,13050.0,0.0,13050.0,190.0,1.5,30.0,0.2,1892.0,14.5,353.0,2.7,4182.0,32.0,28.0,0.2,5223.0,40.0,1152.0,8.8,0.0,0.0,1245.0,9.5,23.0,0.2,162.0,1.2,94.0,0.7,1978.0,15.2,3298.0,25.3,Livermore Valley Joint Unified (Alameda),Livermore Valley Joint Unified,204396068.83,12262.92,16667.81,Unified,0.0641837343797399
626130.0,61218,1612180000000.0,Alameda,Elementary,KG,8,KG,8,General Assistance,Rural,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,83.3,0.0,0.0,2.0,16.7,0.0,0.0,0.0,0.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.3,8.0,66.7,Mountain House Elementary (Alameda),Mountain House Elementary,684683.93,12.13,56445.5,Elementary,0.010717230008244087
627060.0,61234,1612340000000.0,Alameda,Unified,KG,12,KG,12,Differentiated Assistance,Suburban,4828.0,0.0,4828.0,132.0,2.7,14.0,0.3,861.0,17.8,394.0,8.2,2477.0,51.3,93.0,1.9,436.0,9.0,290.0,6.0,131.0,2.7,1029.0,21.3,19.0,0.4,172.0,3.6,29.0,0.6,683.0,14.1,2297.0,47.6,Newark Unified (Alameda),Newark Unified,78545652.91,4669.03,16822.69,Unified,0.03404775724293917
626910.0,61242,1612420000000.0,Alameda,Unified,KG,12,KG,12,Differentiated Assistance,Suburban,10052.0,0.0,10052.0,419.0,4.2,74.0,0.7,2824.0,28.1,1773.0,17.6,3718.0,37.0,145.0,1.4,573.0,5.7,500.0,5.0,26.0,0.3,1769.0,17.6,18.0,0.2,156.0,1.6,62.0,0.6,1160.0,11.5,5705.0,56.8,New Haven Unified (Alameda),New Haven Unified,159914158.65,9295.3,17203.77,Unified,0.08140673243467136
